term,estimate,std.error,statistic,p.value,conf.low,conf.high,outcome
rel::-16:treated,1.80000000000331,,,,,,unemp_rate
rel::-15:treated,1.6000000000032,,,,,,unemp_rate
rel::-14:treated,1.60000000000357,,,,,,unemp_rate
rel::-13:treated,1.20000000000301,,,,,,unemp_rate
rel::-12:treated,1.50000000000309,,,,,,unemp_rate
rel::-11:treated,1.500000000003,,,,,,unemp_rate
rel::-10:treated,1.40000000000305,,,,,,unemp_rate
rel::-9:treated,1.60000000000311,,,,,,unemp_rate
rel::-8:treated,1.80000000000305,,,,,,unemp_rate
rel::-7:treated,1.00000000000308,,,,,,unemp_rate
rel::-6:treated,0.800000000003029,,,,,,unemp_rate
rel::-5:treated,0.600000000003072,,,,,,unemp_rate
rel::-4:treated,0.100000000003001,,,,,,unemp_rate
rel::-3:treated,0.200000000003064,,,,,,unemp_rate
rel::-2:treated,0.200000000003105,,,,,,unemp_rate
rel::0:treated,0.300000000003172,,,,,,unemp_rate
rel::1:treated,0.400000000003036,,,,,,unemp_rate
rel::2:treated,0.600000000003056,,,,,,unemp_rate
rel::3:treated,0.600000000003006,,,,,,unemp_rate
rel::4:treated,0.70000000000328,,,,,,unemp_rate
rel::5:treated,1.20000000000318,,,,,,unemp_rate
rel::6:treated,1.00000000000307,,,,,,unemp_rate
rel::7:treated,0.900000000003111,,,,,,unemp_rate
rel::8:treated,1.4000000000031,,,,,,unemp_rate
rel::9:treated,1.70000000000306,,,,,,unemp_rate
rel::10:treated,2.10000000000298,,,,,,unemp_rate
rel::11:treated,2.50000000000331,,,,,,unemp_rate
rel::12:treated,2.60000000000313,,,,,,unemp_rate
rel::13:treated,2.7000000000033,,,,,,unemp_rate
rel::14:treated,3.00000000000314,,,,,,unemp_rate
rel::15:treated,3.10000000000321,,,,,,unemp_rate
rel::16:treated,3.00000000000329,,,,,,unemp_rate
rel::17:treated,3.1000000000033,,,,,,unemp_rate
rel::18:treated,2.70000000000333,,,,,,unemp_rate
rel::19:treated,2.80000000000332,,,,,,unemp_rate
rel::20:treated,3.00000000000315,,,,,,unemp_rate
rel::21:treated,2.6000000000031,,,,,,unemp_rate
rel::22:treated,2.60000000000332,,,,,,unemp_rate
rel::23:treated,2.70000000000322,,,,,,unemp_rate
rel::24:treated,2.5000000000031,,,,,,unemp_rate
rel::25:treated,2.30000000000317,,,,,,unemp_rate
rel::26:treated,2.70000000000308,,,,,,unemp_rate
rel::27:treated,2.30000000000314,,,,,,unemp_rate
rel::28:treated,2.30000000000312,,,,,,unemp_rate
rel::29:treated,2.40000000000323,,,,,,unemp_rate
rel::30:treated,2.40000000000317,,,,,,unemp_rate
rel::31:treated,2.60000000000321,,,,,,unemp_rate
rel::32:treated,2.60000000000317,,,,,,unemp_rate
rel::33:treated,2.90000000000331,,,,,,unemp_rate
rel::34:treated,2.90000000000321,,,,,,unemp_rate
rel::35:treated,3.00000000000325,,,,,,unemp_rate
rel::36:treated,2.90000000000328,,,,,,unemp_rate
rel::37:treated,2.40000000000326,,,,,,unemp_rate
rel::38:treated,2.60000000000322,,,,,,unemp_rate
rel::39:treated,2.90000000000323,,,,,,unemp_rate
rel::40:treated,2.6000000000032,,,,,,unemp_rate
rel::41:treated,2.60000000000333,,,,,,unemp_rate
rel::42:treated,2.70000000000329,,,,,,unemp_rate
rel::43:treated,2.30000000000333,,,,,,unemp_rate
rel::44:treated,2.70000000000322,,,,,,unemp_rate
rel::45:treated,2.60000000000324,,,,,,unemp_rate
rel::46:treated,2.30000000000326,,,,,,unemp_rate
rel::47:treated,2.80000000000321,,,,,,unemp_rate
rel::48:treated,3.2000000000032,,,,,,unemp_rate
rel::49:treated,2.50000000000348,,,,,,unemp_rate
rel::50:treated,2.70000000000351,,,,,,unemp_rate
rel::51:treated,3.10000000000353,,,,,,unemp_rate
rel::52:treated,2.70000000000347,,,,,,unemp_rate
rel::53:treated,3.30000000000336,,,,,,unemp_rate
rel::54:treated,3.30000000000334,,,,,,unemp_rate
rel::55:treated,2.50000000000334,,,,,,unemp_rate
rel::56:treated,2.80000000000343,,,,,,unemp_rate
rel::57:treated,3.10000000000327,,,,,,unemp_rate
rel::58:treated,2.50000000000324,,,,,,unemp_rate
rel::59:treated,2.80000000000324,,,,,,unemp_rate
rel::60:treated,3.00000000000307,,,,,,unemp_rate
rel::61:treated,3.00000000000326,,,,,,unemp_rate
rel::62:treated,2.70000000000324,,,,,,unemp_rate
rel::63:treated,2.90000000000323,,,,,,unemp_rate
rel::64:treated,3.00000000000323,,,,,,unemp_rate
rel::65:treated,2.80000000000326,,,,,,unemp_rate
rel::66:treated,3.00000000000315,,,,,,unemp_rate
rel::67:treated,2.40000000000321,,,,,,unemp_rate
rel::68:treated,2.60000000000321,,,,,,unemp_rate
rel::69:treated,2.60000000000322,,,,,,unemp_rate
rel::70:treated,1.90000000000322,,,,,,unemp_rate
rel::71:treated,2.20000000000321,,,,,,unemp_rate
rel::72:treated,2.30000000000329,,,,,,unemp_rate
rel::73:treated,2.00000000000325,,,,,,unemp_rate
rel::74:treated,1.90000000000326,,,,,,unemp_rate
rel::75:treated,2.20000000000326,,,,,,unemp_rate
rel::76:treated,2.30000000000323,,,,,,unemp_rate
rel::77:treated,2.20000000000326,,,,,,unemp_rate
rel::78:treated,2.10000000000322,,,,,,unemp_rate
rel::79:treated,2.30000000000327,,,,,,unemp_rate
rel::80:treated,2.10000000000317,,,,,,unemp_rate
rel::81:treated,2.10000000000325,,,,,,unemp_rate
rel::82:treated,2.00000000000318,,,,,,unemp_rate
rel::83:treated,1.80000000000319,,,,,,unemp_rate
rel::84:treated,1.9000000000033,,,,,,unemp_rate
rel::85:treated,1.80000000000323,,,,,,unemp_rate
rel::86:treated,1.80000000000326,,,,,,unemp_rate
rel::87:treated,1.80000000000333,,,,,,unemp_rate
rel::88:treated,1.70000000000322,,,,,,unemp_rate
rel::89:treated,1.20000000000321,,,,,,unemp_rate
rel::90:treated,1.20000000000321,,,,,,unemp_rate
rel::91:treated,1.50000000000319,,,,,,unemp_rate
rel::92:treated,1.10000000000327,,,,,,unemp_rate
rel::93:treated,1.00000000000325,,,,,,unemp_rate
rel::94:treated,1.10000000000351,,,,,,unemp_rate
rel::95:treated,0.9000000000035,,,,,,unemp_rate
rel::96:treated,1.00000000000326,,,,,,unemp_rate
rel::97:treated,0.900000000003465,,,,,,unemp_rate
rel::98:treated,0.900000000003497,,,,,,unemp_rate
rel::99:treated,0.800000000003326,,,,,,unemp_rate
rel::100:treated,1.10000000000351,,,,,,unemp_rate
rel::101:treated,0.800000000003286,,,,,,unemp_rate
rel::102:treated,0.800000000003433,,,,,,unemp_rate
